PARK,BOROUGH,SIZE (ACRES),CATEGORY,MURDER_q1,RAPE_q1,ROBBERY_q1,FELONY ASSAULT_q1,BURGLARY_q1,GRAND LARCENY_q1,GRAND LARCENY OF MOTOR VEHICLE_q1,TOTAL_q1,MURDER_q2,RAPE_q2,ROBBERY_q2,FELONY ASSAULT_q2,BURGLARY_q2,GRAND LARCENY_q2,GRAND LARCENY OF MOTOR VEHICLE_q2,TOTAL_q2,MURDER_q3,RAPE_q3,ROBBERY_q3,FELONY ASSAULT_q3,BURGLARY_q3,GRAND LARCENY_q3,GRAND LARCENY OF MOTOR VEHICLE_q3,TOTAL_q3,TOTAL,CRIME OR NOT,CRIME OR NOT_q1,CRIME OR NOT_q2,CRIME OR NOT_q3
WILLOWBROOK PARKWAY,STATEN ISLAND,198.48 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
INWOOD HILL PARK,MANHATTAN    ,196.40 ,ONE ACRE OR LARGER,0 ,0 ,2 ,1 ,0 ,0 ,0 ,3 ,0,0,0,0,0,1 ,0,1 ,0 ,0,0,1 ,0,1 ,0,2 ,6 ,1 ,1,1,1
CLOVE LAKES PARK,STATEN ISLAND,193.42 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,1 ,0,0,0,0,0,1 ,1 ,1 ,0,0,1
FORT WASHINGTON PARK,MANHATTAN    ,184.14 ,ONE ACRE OR LARGER,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,1 ,1 ,1,0,0
IDLEWILD PARK,QUEENS       ,180.85 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
WARDS ISLAND PARK,MANHATTAN    ,176.58 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
SOUTH SHORE COUNTRY CLUB,STATEN ISLAND,173.99 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
SAW MILL CREEK MARSH,STATEN ISLAND,171.78 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
BLOOD ROOT VALLEY,STATEN ISLAND,161.24 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
JAMAICA BAY PARK,QUEENS       ,149.54 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
KISSENA CORRIDOR PARK,QUEENS       ,146.81 ,ONE ACRE OR LARGER,0 ,0 ,1 ,0 ,0 ,1 ,0 ,2 ,0,0,3 ,3 ,0,1 ,0,7 ,0 ,1 ,2 ,0,0,2 ,0,5 ,14 ,1 ,1,1,1
HIGHLAND PARK,BROOKLYN/QUEENS,146.34 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,1 ,0,2 ,0,3 ,0 ,0,4 ,0,0,3 ,1 ,8 ,11 ,1 ,0,1,1
ARDEN WOODS,STATEN ISLAND,145.86 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
RIVERDALE PARK,BRONX        ,144.29 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
OCEAN PARKWAY MALLS,BROOKLYN     ,140.00 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
BLOOMINGDALE PARK,STATEN ISLAND,138.10 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
OCEAN BREEZE PARK,STATEN ISLAND,136.57 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
CANARSIE PARK,BROOKLYN     ,132.20 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,1 ,1 ,0 ,0,0,0,0,0,0,0 ,1 ,1 ,0,1,0
HIGHBRIDGE PARK MANHATTAN SIDE,MANHATTAN    ,130.10 ,ONE ACRE OR LARGER,0 ,0 ,1 ,1 ,0 ,0 ,0 ,2 ,0,0,2 ,0,0,0,0,2 ,0 ,0,4 ,2 ,0,2 ,0,8 ,12 ,1 ,1,1,1
CROTONA PARK,BRONX        ,127.50 ,ONE ACRE OR LARGER,0 ,0 ,1 ,2 ,0 ,0 ,0 ,3 ,0,0,1 ,7 ,0,1 ,0,9 ,0 ,0,1 ,5 ,1 ,7 ,1 ,15 ,27 ,1 ,1,1,1
PAERDEGAT BASIN PARK,BROOKLYN     ,118.80 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
HOOK CREEK PARK,QUEENS       ,111.16 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
CRESCENT BEACH PARK,STATEN ISLAND,110.96 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
CLEARVIEW PARK GOLF COURSE,QUEENS       ,110.93 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
BAISLEY POND PARK,QUEENS       ,109.61 ,ONE ACRE OR LARGER,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0,0,1 ,0,0,0,0,1 ,0 ,0,0,1 ,0,0,0,1 ,3 ,1 ,1,1,1
PELHAM PARKWAY,BRONX        ,108.91 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
