PARK,TOTAL,BOROUGH,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE
FRANCIS LEWIS PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
MURRAY HILL PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
MAGENTA PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
TIFFANY PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
MAURICE A FITZGERALD PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
DANIEL BOONE PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
HILTON HOLIDAY GARDENS,0,QUEENS,0,0,0,0,0,0,0
HATTIE CARTHAN PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
KOREAN WAR VETERANS PLAZA,0,BROOKLYN,0,0,0,0,0,0,0
STROUD PLAYGROUND,1,BROOKLYN,0,0,0,1,0,0,0
TILDEN PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
LAFAYETTE PLAYGROUND ON STILLWELL AVENUE,0,BROOKLYN,0,0,0,0,0,0,0
SOUTH OXFORD PARK,0,BROOKLYN,0,0,0,0,0,0,0
UNDERWOOD PARK,0,BROOKLYN,0,0,0,0,0,0,0
GROVE HILL PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
LA GUARDIA PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
UNNAMED PARK ON DRUMGOOLE ROAD & VERNON AVENUE,0,STATEN ISLAND,0,0,0,0,0,0,0
BELMONT PLAYGROUND BROOKLYN,1,BROOKLYN,0,0,0,1,0,0,0
STEUBEN PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
THE CYCLONE,0,BROOKLYN,0,0,0,0,0,0,0
WILLIAM SHERIDAN PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
OAKLAND GARDENS,0,QUEENS,0,0,0,0,0,0,0
UNIVERSITY PLACE,0,BROOKLYN,0,0,0,0,0,0,0
EHRENREICH-AUSTIN PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
HARDING PARK BEAUTIFICATION PROJECT,0,BRONX,0,0,0,0,0,0,0
HILLSIDE PARK QUEENS,0,QUEENS,0,0,0,0,0,0,0
SITTING AREA AT HOYT AVENUE,0,QUEENS,0,0,0,0,0,0,0
CUYLER GORE PARK,0,BROOKLYN,0,0,0,0,0,0,0
BATH PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
POLICE OFFICER NICHOLAS DEMUTIIS PARK,1,QUEENS,0,0,0,1,0,0,0
RAPPAPORT PLAYGROUND,1,BROOKLYN,0,0,0,1,0,0,0
EAST SPRINGFIELD PLAYGROUND,1,QUEENS,0,0,1,0,0,0,0
WILLETS POINT PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
TOAD HALL PLAYGROUND,0,STATEN ISLAND,0,0,0,0,0,0,0
SEASIDE PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
CORPORAL JOHN A. SERAVALLI PLAYGROUND,2,MANHATTAN,0,0,1,1,0,0,0
POPPENHUSEN PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
UNNAMED PARK ON ROCKAWAY BOARDWALK & B 28TH ST,0,QUEENS,0,0,0,0,0,0,0
SOBEL COURT PARK,0,STATEN ISLAND,0,0,0,0,0,0,0
UNNAMED PARK ON SOUNDVIEW AVENUE,0,BRONX,0,0,0,0,0,0,0
D'EMIC PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
FIDLER-WYCKOFF HOUSE PARK,0,BROOKLYN,0,0,0,0,0,0,0
WESTBOURNE PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
PRESCOTT PLAYGROUND,0,STATEN ISLAND,0,0,0,0,0,0,0
LOPEZ PLAYGROUND,0,STATEN ISLAND,0,0,0,0,0,0,0
HUGH J. GRANT CIRCLE,0,BRONX,0,0,0,0,0,0,0
P.S. 29 BALL FIELD,0,BRONX,0,0,0,0,0,0,0
PENA HERRERA PARK,0,BROOKLYN,0,0,0,0,0,0,0
MENTONE PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
MIDDLETON PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
DE HOSTOS PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
SARATOGA BALLFIELDS,0,BROOKLYN,0,0,0,0,0,0,0
ROBERT MOSES PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
STOCKTON PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
JACOB'S LADDER PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
LOUIS ARMSTRONG PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
UNNAMED PARK ON HAMILTON AVENUE,0,BROOKLYN,0,0,0,0,0,0,0
LATIMER PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
UNNAMED PARK ON MELROSE AVENUE,0,BRONX,0,0,0,0,0,0,0
MARLBORO PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
NORTH ROCHDALE PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
JEROME PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
GREAT KILLS PARK AT HILLCREST AVENUE,0,STATEN ISLAND,0,0,0,0,0,0,0
FERMI PLAYGROUND,1,BROOKLYN,0,0,1,0,0,0,0
ERICSSON PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
MELLETT PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
NELLIE BLY PARK,3,BROOKLYN,0,0,2,1,0,0,0
TELEPHONE PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
SEDGWICK PLAYGROUND,2,BRONX,0,0,1,0,0,1,0
BRUCKNER PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
MILLBROOK PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
PLAYGROUND 103 CIII,0,MANHATTAN,0,0,0,0,0,0,0
ROCKET PARK,0,QUEENS,0,0,0,0,0,0,0
BEACH CHANNEL PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
LOZADA PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
L/CPL THOMAS P. NOONAN JR. PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
JAMES WELDON JOHNSON PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
SPRINGFIELD PARK NORTH,1,QUEENS,0,0,0,0,0,1,0
NICHOLAS NAQUAN HEYWARD JR. PARK,0,BROOKLYN,0,0,0,0,0,0,0
FISH PLAYGROUND,1,BROOKLYN,0,0,1,0,0,0,0
PLANEVIEW PARK,1,QUEENS,0,0,1,0,0,0,0
GILBERT RAMIREZ PARK,1,BROOKLYN,0,0,0,1,0,0,0
OXPORT PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
VAN ALST PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
WOODTREE PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
HAMMEL PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
EASTCHESTER PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
SUNRISE PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
POWELL PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
MATTHEWS MULINER PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
KALTENMEIER PLAYGROUND,0,STATEN ISLAND,0,0,0,0,0,0,0
BOWLING GREEN,0,MANHATTAN,0,0,0,0,0,0,0
ANNADALE PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
CURTIS PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
MELROSE PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
CASERTA PLAYGROUND,1,BRONX,0,0,1,0,0,0,0
HACKETT PARK,0,BRONX,0,0,0,0,0,0,0
PLAYGROUND 174,1,BRONX,0,0,0,1,0,0,0
PLIMPTON PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
RANDALL PLAYGROUND,2,BRONX,0,0,2,0,0,0,0
CHESTER PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
HOWARD PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
JACKIE ROBINSON PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
PINK PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
BLAKE HOBBS PLAYGROUND,1,MANHATTAN,0,0,0,1,0,0,0
MARTIN LUTHER KING PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
MONSIGNOR KETT PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
RUPPERT PARK,0,MANHATTAN,0,0,0,0,0,0,0
BELLEROSE PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
ARVERNE PLAYGROUND,1,QUEENS,0,0,0,0,0,1,0
ABRAHAM LINCOLN PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
CAPTAIN RIVERA PLAYGROUND,2,BRONX,0,0,0,2,0,0,0
NEWTOWN BARGE PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
HOLLIS PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
MAPLE PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
GOUVERNEUR PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
MOTT PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
ZIMMERMAN PLAYGROUND,1,BRONX,0,0,0,1,0,0,0
LANNETT PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
RANAQUA PARK,0,BRONX,0,0,0,0,0,0,0
TEN EYCK PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
MAE GRANT PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
ANDRIES PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
CARVER PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
PARK SLOPE PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
CHERRY TREE PARK,1,MANHATTAN,0,0,0,0,0,1,0
DAVIS PLAYGROUND,0,STATEN ISLAND,0,0,0,0,0,0,0
MATTHEW P. SAPOLIN PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
PETER MINUIT PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
SOUTH ROCHDALE PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
DREW PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
FOX PLAYGROUND BRONX,0,BRONX,0,0,0,0,0,0,0
WALTER WARD PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
BENSON PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
CRISPUS ATTUCKS PLAYGROUND,1,BROOKLYN,0,0,1,0,0,0,0
SURF PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
BERGEN BEACH PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
TIGER PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
ATHENS SQUARE,0,QUEENS,0,0,0,0,0,0,0
ROCK GARDEN PARK,0,BRONX,0,0,0,0,0,0,0
SAW MILL PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
P.S. 279 PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
VIRGINIA PARK,0,BRONX,0,0,0,0,0,0,0
NEWPORT PLAYGROUND,1,BROOKLYN,0,0,1,0,0,0,0
ALBEMARLE PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
BARTLETT PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
BOERUM PARK,0,BROOKLYN,0,0,0,0,0,0,0
PRATT PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
CARTER G. WOODSON CHILDREN'S PARK,0,BROOKLYN,0,0,0,0,0,0,0
HOUSTON PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
LIVONIA PARK,1,BROOKLYN,0,0,1,0,0,0,0
DITMARS PARK,0,QUEENS,0,0,0,0,0,0,0
WHITE PLAYGROUND STATEN ISLAND,0,STATEN ISLAND,0,0,0,0,0,0,0
EDMONDS PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
GARDEN PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
PONTIAC PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
MARTIN LUTHER PLAYGROUND,1,BROOKLYN,0,0,1,0,0,0,0
AESOP PARK,0,STATEN ISLAND,0,0,0,0,0,0,0
SLATTERY PLAYGROUND,1,BRONX,0,0,0,1,0,0,0
BAY TERRACE PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
WILLOUGHBY PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
ESTELLA DIGGS PARK,0,BRONX,0,0,0,0,0,0,0
WASHINGTON HALL PARK,0,BROOKLYN,0,0,0,0,0,0,0
HARLEM RBI,0,MANHATTAN,0,0,0,0,0,0,0
STARR PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
AMERICAN PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
HART PLAYGROUND ON BROADWAY,1,QUEENS,0,0,0,0,0,1,0
ARROCHAR PLAYGROUND,0,STATEN ISLAND,0,0,0,0,0,0,0
SOL LAIN PLGD,0,MANHATTAN,0,0,0,0,0,0,0
EL SHABAZZ PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
PINOCCHIO PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
ALICE KORNEGAY TRIANGLE,0,MANHATTAN,0,0,0,0,0,0,0
PETER'S FIELD,0,MANHATTAN,0,0,0,0,0,0,0
BEDFORD PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
HAROLD SCHNEIDERMAN PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
WAKEFIELD PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
QUEENS VALLEY PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
LT. JOSEPH PETROSINO PARK,0,BROOKLYN,0,0,0,0,0,0,0
EVERGREEN PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
PLAYGROUND 286,0,BROOKLYN,0,0,0,0,0,0,0
BARRIER PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
LION'S PRIDE PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
NATHAN STRAUS PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
SCHENCK PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
HAVILAND PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
SOL BLOOM PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
P.S. 155 PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
STEBBINS PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
OPEN ROAD PARK,0,MANHATTAN,0,0,0,0,0,0,0
DI GILIO PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
HART PLAYGROUND ON 147 ST,0,QUEENS,0,0,0,0,0,0,0
HIGHBRIDGE PARK BRONX SIDE,1,BRONX,0,0,1,0,0,0,0
FLYNN PLAYGROUND,1,BRONX,0,0,0,0,0,1,0
PARKSIDE PLAYGROUND BRONX,0,BRONX,0,0,0,0,0,0,0
FISHER POOL,0,QUEENS,0,0,0,0,0,0,0
ALEXANDER HAMILTON PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
WEST FARMS RAPIDS,0,BRONX,0,0,0,0,0,0,0
BELLAIRE PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
STEINWAY PLAYGROUND,2,QUEENS,0,0,0,2,0,0,0
RISSE STREET PARK,0,BRONX,0,0,0,0,0,0,0
ETHAN ALLEN PLAYGROUND,1,BROOKLYN,0,0,0,1,0,0,0
KENNEDY KING PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
EUGENE MCCABE FIELD,0,MANHATTAN,0,0,0,0,0,0,0
VLADECK PARK,0,MANHATTAN,0,0,0,0,0,0,0
SAMUEL SEABURY PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
SPIRIT PLAYGROUND,2,QUEENS,0,0,0,0,0,2,0
MORGAN PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
MOORE PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
FIRST PARK,0,MANHATTAN,0,0,0,0,0,0,0
SGT. WILLIAM DOUGHERTY PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
ADMIRAL PARK,0,QUEENS,0,0,0,0,0,0,0
JAIME CAMPIZ PLAYGROUND,1,BROOKLYN,0,1,0,0,0,0,0
SAMUEL N. BENNERSON 2ND PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
PLAYGROUND SEVENTY FIVE,0,QUEENS,0,0,0,0,0,0,0
WEBSTER PLAYGROUND,1,BRONX,0,0,1,0,0,0,0
FROST PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
TECUMSEH PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
RAILROAD PARK BRONX,1,BRONX,0,0,0,0,0,1,0
NATHAN WEIDENBAUM PARK,0,QUEENS,0,0,0,0,0,0,0
BLUEBERRY PARK,0,STATEN ISLAND,0,0,0,0,0,0,0
CLARK PLAYGROUND,2,BRONX,0,0,0,2,0,0,0
HUNTS POINT PLAYGROUND,1,BRONX,0,0,1,0,0,0,0
GUN HILL PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
BLOOMINGDALE PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
GALILEO PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
I-AM-PARK,0,BRONX,0,0,0,0,0,0,0
UNNAMED PARK ON 17TH STREET,0,BROOKLYN,0,0,0,0,0,0,0
LAFAYETTE GARDENS PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
LINWOOD PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
ORACLE PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
NEWTOWN PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
MOUNT HOPE PLAYGROUND,1,BRONX,0,1,0,0,0,0,0
GARRISON PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
GERTRUDE EDERLE RECREATION CENTER,0,MANHATTAN,0,0,0,0,0,0,0
SLOPE PARK,0,BROOKLYN,0,0,0,0,0,0,0
FRED SAMUEL PLAYGROUND,1,MANHATTAN,0,0,1,0,0,0,0
AUBURNDALE PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
WHITE PLAYGROUND MANHATTAN,3,MANHATTAN,0,0,0,3,0,0,0
DAWSON PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
MAPES POOL,0,BRONX,0,0,0,0,0,0,0
LILLIAN D WALD PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
RIVER AVENUE PARKS,0,BRONX,0,0,0,0,0,0,0
HOWARD POOL,0,BROOKLYN,0,0,0,0,0,0,0
ST. NICHOLAS PLAYGROUND SOUTH,0,MANHATTAN,0,0,0,0,0,0,0
CANAL PARK,0,MANHATTAN,0,0,0,0,0,0,0
RIVERBEND PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
ST. NICHOLAS PLAYGROUND NORTH,1,MANHATTAN,0,0,1,0,0,0,0
THE PEARLY GATES,0,BRONX,0,0,0,0,0,0,0
COLLEGE POINT PARK,0,QUEENS,0,0,0,0,0,0,0
AUDUBON PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
COURTNEY CALLENDER PLAYGROUND,1,MANHATTAN,0,0,0,0,0,1,0
BRIZZI PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
AUGUSTUS ST. GAUDENS PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
VESUVIO PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
SQUIBB PARK,1,BROOKLYN,0,0,0,1,0,0,0
VETERANS GROVE,0,QUEENS,0,0,0,0,0,0,0
ELTON PLAYGROUND,1,BROOKLYN,0,0,0,0,0,1,0
TWENTY-FOUR SYCAMORES PARK,0,MANHATTAN,0,0,0,0,0,0,0
EAST RIVER ESPLANADE AT E 36TH ST AND FDR,0,MANHATTAN,0,0,0,0,0,0,0
CEDAR GROVE PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
CLEOPATRA PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
BEACH 59TH ST PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
BRIDGE PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
HALF-NELSON PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
HENRY M. JACKSON PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
WILLIAM F. PASSANNANTE BALLFIELD,0,MANHATTAN,0,0,0,0,0,0,0
DR. RONALD E. MCNAIR PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
PENN SOUTH PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
O'NEILL TRIANGLE,0,BRONX,0,0,0,0,0,0,0
GEORGE WALKER JR. PARK,0,BROOKLYN,0,0,0,0,0,0,0
UNDERHILL PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
PETER DETMOLD PARK,0,MANHATTAN,0,0,0,0,0,0,0
COBBLE HILL PARK,0,BROOKLYN,0,0,0,0,0,0,0
WRIGHT BROTHERS PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
MERCER PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
SEAN'S PLACE,0,QUEENS,0,0,0,0,0,0,0
HARVARD PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
SARSFIELD PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
HELL'S KITCHEN PARK,0,MANHATTAN,0,0,0,0,0,0,0
BENNINGER PLAYGROUND,2,QUEENS,0,0,0,0,0,2,0
RORY STAUNTON FIELD,0,QUEENS,0,0,0,0,0,0,0
CARMANSVILLE PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
SIXTEEN SYCAMORES PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
GALAPO PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
MCKINLEY PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
ENNIS PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
GUTENBERG PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
BLAND PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
PFC NORTON PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
LITTLE CLAREMONT PARK,0,BRONX,0,0,0,0,0,0,0
JUNCTION PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
WOODRUFF PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
ABIGAIL PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
DR. GERTRUDE B. KELLY PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
WALD PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
ANDREWS GROVE,0,QUEENS,0,0,0,0,0,0,0
LAFAYETTE PLAYGROUND ON LAFAYETTE AVENUE,0,BROOKLYN,0,0,0,0,0,0,0
ANIBAL AVILES PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
WASHINGTON PARK BRONX,0,BRONX,0,0,0,0,0,0,0
PAT WILLIAMS PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
GREENPOINT PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
PIERREPONT PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
EPIPHANY PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
JOHN ADAMS PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
LEVY PLAYGROUND,0,STATEN ISLAND,0,0,0,0,0,0,0
CLEMENT CLARKE MOORE PARK,0,MANHATTAN,0,0,0,0,0,0,0
CHARLTON GARDEN,0,BRONX,0,0,0,0,0,0,0
THOMAS J. CUITE PARK,0,BROOKLYN,0,0,0,0,0,0,0
CHERRY CLINTON PLAYGROUND,1,MANHATTAN,0,0,1,0,0,0,0
HILTON WHITE PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
MILESTONE PARK,0,BROOKLYN,0,0,0,0,0,0,0
TURTLE PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
MATTHEWS - PALMER PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
FAIRMOUNT PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
MOTHER CABRINI PARK,0,BROOKLYN,0,0,0,0,0,0,0
VIRGINIA PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
RAINBOW PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
TEN EYCK PLAZA,1,BROOKLYN,0,0,0,0,0,1,0
TRIBOROUGH BRIDGE PLAYGROUND C,0,QUEENS,0,0,0,0,0,0,0
TRIBOROUGH BRIDGE PLAYGROUND D,0,QUEENS,0,0,0,0,0,0,0
TRIBOROUGH BRIDGE PLAYGROUND E,0,QUEENS,0,0,0,0,0,0,0
UNDERBRIDGE DOG RUN,0,QUEENS,0,0,0,0,0,0,0
WILLIAM MCCRAY PLAYGROUND,1,MANHATTAN,0,0,1,0,0,0,0
LOUIS ARMSTRONG COMMUNITY CENTER,0,QUEENS,0,0,0,0,0,0,0
ABC PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
MIDDLE VILLAGE PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
YAK PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
HAVEMEYER PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
BUTTERFLY GARDENS,0,BROOKLYN,0,0,0,0,0,0,0
PLAYGROUND ONE,0,MANHATTAN,0,0,0,0,0,0,0
GARIBALDI PLAYGROUND,1,BROOKLYN,0,0,0,0,0,1,0
MORRIS GARDEN,0,BRONX,0,0,0,0,0,0,0
MCCAFFREY PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
ADMIRAL TRIANGLE,0,BROOKLYN,0,0,0,0,0,0,0
HORSESHOE PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
HUNTS POINT RIVERSIDE PARK,1,BRONX,0,0,0,1,0,0,0
TOMPKINSVILLE PARK,0,STATEN ISLAND,0,0,0,0,0,0,0
WEST 4TH STREET COURTS,1,MANHATTAN,0,0,0,0,0,1,0
MOSHOLU PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
LIOTTI IKEFUGI PLAYGROUND,0,STATEN ISLAND,0,0,0,0,0,0,0
JOSEPH C. SAUER PARK,0,MANHATTAN,0,0,0,0,0,0,0
PLAYGROUND EIGHTY NINE LXXXIX,0,MANHATTAN,0,0,0,0,0,0,0
VAN NEST PARK,2,BRONX,0,0,0,1,0,1,0
JOSEPHINE CAMINITI PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
RODNEY PARK SOUTH,0,BROOKLYN,0,0,0,0,0,0,0
IMAGINATION PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
CHELSEA RECREATION CENTER,0,MANHATTAN,0,0,0,0,0,0,0
HINES PARK,0,BRONX,0,0,0,0,0,0,0
GOBLE PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
GRAND PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
RODNEY PARK NORTH,0,BROOKLYN,0,0,0,0,0,0,0
ST. MARY'S PARK PLAYGROUND BROOKLYN,0,BROOKLYN,0,0,0,0,0,0,0
MARCY PARK SOUTH,0,BROOKLYN,0,0,0,0,0,0,0
