PARK,TOTAL,BOROUGH,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE
COLLEGE POINT FIELDS,0,QUEENS,0,0,0,0,0,0,0
KAISER PARK,3,BROOKLYN,0,1,0,1,0,1,0
SUNSET PARK,14,BROOKLYN,0,0,5,4,0,5,0
OWL'S HEAD PARK,1,BROOKLYN,0,0,1,0,0,0,0
SPRINGFIELD PARK,1,QUEENS,0,0,1,0,0,0,0
RECREATIONAL AREA,0,MANHATTAN,0,0,0,0,0,0,0
KING FISHER PARK,0,STATEN ISLAND,0,0,0,0,0,0,0
SIEDENBURG PARK,0,STATEN ISLAND,0,0,0,0,0,0,0
ST. NICHOLAS PARK,7,MANHATTAN,0,1,1,2,0,3,0
SOUTH BROTHER ISLAND,0,BRONX,0,0,0,0,0,0,0
LOCUST POINT MARINA,0,BRONX,0,0,0,0,0,0,0
BATTERY PARK,0,MANHATTAN,0,0,0,0,0,0,0
BROOKLYN BRIDGE PARK,14,BROOKLYN,0,0,1,0,2,11,0
ASSER LEVY PARK,0,BROOKLYN,0,0,0,0,0,0,0
SEASIDE WILDLIFE NATURE PARK,1,STATEN ISLAND,0,0,0,0,0,1,0
WAVE HILL,0,BRONX,0,0,0,0,0,0,0
QUEENSBRIDGE PARK,0,QUEENS,0,0,0,0,0,0,0
MARCUS GARVEY PARK,16,MANHATTAN,0,0,6,9,0,1,0
ISHAM PARK,2,MANHATTAN,0,0,2,0,0,0,0
WILLIAMSBRIDGE OVAL,6,BRONX,0,0,3,1,0,2,0
BRANT POINT WILDLIFE SANCTUARY,0,QUEENS,0,0,0,0,0,0,0
BROAD CHANNEL AMERICAN PARK,0,QUEENS,0,0,0,0,0,0,0
THEODORE ROOSEVELT PARK,0,MANHATTAN,0,0,0,0,0,0,0
BENSONHURST PARK,4,BROOKLYN,0,0,3,0,0,1,0
LINCOLN TERRACE / ARTHUR S. SOMERS PARK,6,BROOKLYN,0,0,4,2,0,0,0
